iter	Logloss
0	0.6733916512
1	0.6551125499
2	0.6405887932
3	0.6258288288
4	0.6102330467
5	0.5973268927
6	0.5858421832
7	0.5733437097
8	0.5577903858
9	0.5440647956
10	0.531536391
11	0.5205632626
12	0.5096325223
13	0.4995765815
14	0.4904018607
15	0.4778604888
16	0.4699493273
17	0.4600818698
18	0.4520554338
19	0.4430384582
20	0.436116969
21	0.4289899668
22	0.4220306523
23	0.4120609006
24	0.4038643408
25	0.397802984
26	0.391270307
27	0.3832719969
28	0.3769839147
29	0.3710861085
30	0.3654157861
31	0.3598825252
32	0.3524895
33	0.3470752125
34	0.3410644341
35	0.335744926
36	0.3303675877
37	0.3259810969
38	0.3207530029
39	0.3145488111
40	0.3099772284
41	0.3051670243
42	0.2995250527
43	0.2940797025
44	0.288779656
45	0.2844733911
46	0.2795578092
47	0.2747081692
48	0.2703273333
49	0.2654822054
50	0.2615181628
51	0.256760378
52	0.2518194278
53	0.24739172
54	0.2434803197
55	0.2403311618
56	0.2370446202
57	0.2322482151
58	0.2283523762
59	0.2249307805
60	0.2217195892
61	0.2182123384
62	0.2144132728
63	0.2116386194
64	0.2088774098
65	0.2065272789
66	0.203642763
67	0.2007707861
68	0.1973408317
69	0.1941517701
70	0.1915424252
71	0.189558431
72	0.187358302
73	0.1846344377
74	0.1818422327
75	0.1793490104
76	0.1764267947
77	0.1739830088
78	0.1711738439
79	0.1689170209
80	0.1670366534
81	0.1649403771
82	0.1625214209
83	0.1605561005
84	0.1585749803
85	0.1568026786
86	0.1551477304
87	0.1535659633
88	0.1512820464
89	0.1497076931
90	0.1481535465
91	0.1465593433
92	0.144665334
93	0.142668161
94	0.1407112632
95	0.1383282673
96	0.1365341786
97	0.1344779558
98	0.133148948
99	0.1313743278
100	0.1295677365
101	0.1278194447
102	0.1265537492
103	0.12503181
104	0.1237154785
105	0.1225332654
106	0.1207060915
107	0.1192193089
108	0.1179333481
109	0.1165271197
110	0.1150219465
111	0.1140414557
112	0.1128407557
113	0.1115085385
114	0.1099643048
115	0.1082629302
116	0.1065479375
117	0.1055043628
118	0.1043376839
119	0.1028153868
120	0.1017962551
121	0.1006137356
122	0.099508404
123	0.09798198876
124	0.09679163169
125	0.09567144938
126	0.09442372869
127	0.09355365802
128	0.09288560231
129	0.09182489251
130	0.09065453587
131	0.08977681874
132	0.08840816367
133	0.0873862014
134	0.08627769538
135	0.08528627913
136	0.08426027311
137	0.08329892858
138	0.08211011624
139	0.08113570343
140	0.08044671104
141	0.07942511701
142	0.07854700103
143	0.0777010478
144	0.07683808534
145	0.07597039234
146	0.07500452627
147	0.07419488083
148	0.07351315483
149	0.0727017259
150	0.07198733622
151	0.07110452758
152	0.07034396686
153	0.06944581972
154	0.06868380821
155	0.06802045526
156	0.06719663886
157	0.0664562717
158	0.06578019611
159	0.0649854468
160	0.06425718599
161	0.06355569559
162	0.06287470648
163	0.06217439324
164	0.06152792522
165	0.06085410612
166	0.06019023775
167	0.05948746232
168	0.05886712787
169	0.05824477553
170	0.05762003236
171	0.056989453
172	0.05643785739
173	0.05572796219
174	0.055174047
175	0.05471090864
176	0.05417098387
177	0.05361293262
178	0.05307890178
179	0.05258834159
180	0.05197392113
181	0.0515456827
182	0.05101584475
183	0.05048377409
184	0.04993270565
185	0.04944953322
186	0.04899154149
187	0.04850363574
188	0.04812738071
189	0.04767823783
190	0.04715829348
191	0.04672516762
192	0.04633152091
193	0.04589074164
194	0.04545360264
195	0.04497280651
196	0.04453959765
197	0.04408127831
198	0.04362019492
199	0.04312434717
